Front Text;Back Text
crap;gówno, srać
self-assured;pewny siebie
bribe;łapówka, przekupywać
pineapple;ananas
feminine;kobiecy, żeński
November;listopad
victimize;represjonować, stosować represje wobec
sniper;snajper, strzelec wyborowy
wreck;wrak
bear;bore borne - nieść, niedźwiedź
woo;starać się, uwodzić, zalecać się
suggest;proponować, wskazywać na
pre...;przed...
ordinary;zwyczajny, zwykły, pospolity
pleasance;uciecha
mad;szalony, obłąkany, wściekły
reputation;reputacja
mien;mina, wyraz twarzy
tangerine;mandarynka
clearly;wyraźnie, klarownie
tune;melodia, stroić, nastawiać(radio)
miller;młynarz
alter;zmieniać
dizzy;oszołomiony, nieprzytomny, oszołomić, zaćmiewać
mathematical;matematyczny
rhino;nosorożec
hang on sth;zależeć od czegoś
employ;zatrudniać
catwalk;wybieg
workplace;miejsce pracy
consist of;składać się z
whom;kogo
friend;przyjaciel(-ciółka)
length;długość
cor;serce
fuck;pierdolić, pierdolić się
famous;sławny, znany
arm;ręka, ramię, zbroić, uzbrajać
cake;ciasto
ceremony;ceremonia
buffalo;bizon(Animal)
astonishing;zdumiewający, nadzwyczajny
stag;dorosły jeleń
twig;gałązka
partake;partook partaken - zjeść, wypić, uczestniczyć
rib;żebro
till;kasa(sklepowa), aż, do
ebony;heban(drewno, kolor)
afterward;(US) potem, później
reckless;nierozważny, lekkomyślny
insider trader;osoba wykorzystująca poufne informacje(w transakcjach)
grandson;wnuk
multiplication;mnożenie, pomnożenie się
oak;dąb, dębina, dębowy
abandoned;porzucony, opuszczony
undergo;ulegać, zostawać poddanym(operation), przechodzić
environmental;środowiskowy
mesh;siatka, złapać do sieci
pass on;przekazać, odejść(umrzeć)
phenomenal;fenomenalny, nadzwyczajny
violet;fioletowy, fiołek
wrap;zawinąć, zapakować, opakowanie
paradise;raj
tidy;czysty, schludny, sprzątać
widow;wdowa
split;split split - podział, rozłam, dzielić
inaccessible;niedostępny
lay;laid laid - kłaść, położyć
capacity;pojemność, ładowność
crucial;rozstrzygający, decydujący, kluczowy
salute;salutować, salut, salwa
stamina;wytrzymałość, wytrwałość
river;rzeka
mission;misja
hatred;nienawiść
yard;podwórko, jard
suppose;sądzić, przypuszczać
site;miejsce, strona(www)
musician;muzyk
fluorine;fluor
beak;dziób
rolling;falisty
semolina;kasza manna
mutilate;kaleczyć, uszkadzać
gravedigger;grabarz
willingly;chętnie, ochoczo
bald;łysy
bushel;buszel(36,4 litra)
melody;melodia
ever;kiedykolwiek(w zdaniach twierdzących i pytaniach), zawsze
take place;mieć miejsce, zdarzyć się
strait;cieśnina, przesmyk, kłopot, ciasny
agile;zręczny, zwinny
upper case;dużymi literami, wersalikami
information;informacja
sorrowful;pełen smutku, zasmucony
affection;uczucie, sympatia
rich;bogaty
on the other hand;z drugiej strony
ringleader;przywódca gangu, szef szajki
miss;spóźniać się, nie trafiać, tęsknić
rubble;gruz, gruzy
inhabitant;mieszkaniec
talent;talent
litre;litr
liter;(US) litr
follow;podążać, iść
bizarre;dziwaczny
sentinel;posterunek, warta, wartownik
crash;trzask, krach, rozbijać
marmalade;marmolada
emergency number;numer alarmowy(pogotowia ratunkowego, policji, straży pożarnej)
facilities;pomieszczenia, urządzenia, udogodnienia
chalk;kreda, napisać kredą
tossing;rzucanie, podrzucanie
overheads;koszty stałe
stirrer;intrygant, mieszadło
skeleton;szkielet
license;pozwolenie, licencja(US)
wanted;poszukiwany
asteroid;asteroida
smear;plama, smuga, wymaz, oszczerstwo, usmarować się, oczerniać
chloride;chlorek
audience;publiczność, widownia, audiencja
sealed;uszczelniony, opieczętowany
laser;laser
morsal;kawałek, kąsek
come up;podchodzić, wschodzić, zbliżać się
false;fałszywy
bathe;kąpać się, przemywać(ranę), kąpiel
adjustable;regulowany
deformed;zniekształcony
in harmony;wspólnie, w zgodzie
talkative;rozmowny
compare;porównywać
lynx;pl lynx/lynxes - ryś(zwierzę)
fit-up;wrobienie
consultant;doradca, konsultant, lekarz specjalista
sweltering;duszny, parny
dunghill;gnojowisko
odd;dziwny, nieparzysty
Japan;Japonia
ink;atrament
bastion;bastion
bomb;bomba, bombardować
husky;chrapliwy, czerstwy, krzepki
death;zgon, śmierć, ofiara(śmiertelna)
poked;szturchnięty, zaczepiony
aspen;osika(drzewo), drewno osikowe, osina
hail;grad, przywoływać
deer;jeleń
fancy;upodobanie, fantazja, marzenie, wymyślny
extend oneself;wysilić się, dać z siebie wszystko
testify;zeznawać, zaświadczać
dildo;sztuczny penis
pass;wymijać, przechodzić, podawać, zaliczenie(exam), przełęcz
method of payment;metoda płatności
badly;źle, kiepsko, ciężko, dotkliwie
grant;przyznawać, stypendium, dotacja
underwater;pod wodą, podwodny
disk drive;stacja dysków
fog;mgła
autobiography;autobiografia
tyrant;tyran
accustom;przyzwyczajać
fall;fell fallen - upadać
impose;narzucać, wymuszać
pizza;pizza
aboard;na pokładzie
rapidity;gwałtowność, szybkość
diving;nurkowanie, skoki do wody
navigation;nawigowanie, nawigacja
unaware of;być nieświadomym czegoś
blaze;wielki pożar, blask, lśnić, płonąć
hen;kura
not cool;niefajnie
pay more attention to;zwracać większą uwagę na
diligently;pilnie, starannie
microphone;mikrofon
recent;niedawny, ostatni
wireless;radio, drogą radiową
tasteless;bez smaku
break;broke broken - tłuc, łamać
nonsense;nonsens, bzdura
fired;zwolniony
digger;koparka
silly;niemądry, głupi
opportunity;okazja, sposobność
provide;dostarczać
batch;wypiek, plik(PAPERS), porcja
recently;niedawno, ostatnio
hope;nadzieja, mieć nadzieję
disorganised;(UK)zdezorganizowany
bee;pszczoła
fortune;szczęście, majątek(fortuna)
pretence;pozory
orange;pomarańcza, pomarańczowy
seam;szew, spoina, blizna
calmness;spokój
key;klucz, klawisz, kluczowy
dictionary;słownik
cozy;(US)przytulny
vegetable;warzywo
style;styl, szyk
involvement;uczestnictwo, zaangażowanie, związki
insulation;izolacja
OHS;(BHP)occupational health safety
bored;znudzony
append;dodać, dołączyć
phone;telefon, dzwonić
channel;kanał
merry;radosny, wesoły, kochany
privacy;prywatność
process;proces, przetwarzać, przerabiać
shouldn't;nie powinieneś
shelf;pl shelves - półka
growth;wzrost, przyrost, narośl(MED)
purpose;cel
rate;tempo, współczynnik, oceniać
ninja;japoński wojownik, nindża
proprietary;markowy, autorski, zastrzeżony
go up;wzrastać, wznosić
avoidable;dający się uniknąć
merrily;wesoło, radośnie
aloud;głośno, na głos(SPEAK)
ass;osioł, dupa(US)
ear;ucho, kłos
puzzled;zdezorientowany, zdziwiony
pleasure;zadowolenie, przyjemność
the homeless;ludzie bezdomni
bust;bust/busted bust/busted - biust, rozbić, rozwalić
cut;cut cut - kroić, ciąć , skaleczenie
haunt;nawiedzać, straszyć, niepokoić
tax;podatek, opodatkowywać
get out of sth;opuścić jakieś miejsce, uciec, wymigiwać się
security;bezpieczeństwo, zabezpieczenie
omelet;(US)omlet
bring back;przywracać
motion;ruch
magician;czarodziej, magik
lightning;błyskawica
yellow;żółty
preoccupation;zainteresowanie, zajęcie
come back;wracać
preventive;prewencyjny, zapobiegawczy
lately;ostatnio
intruder;intruz
shipping;żegluga, przewóz(morski)
unjust;niesprawiedliwy
attract;przyciągać
flame;płomień
moonlight;blask księżyca
nobody;nikt
aquarium;pl aquariums/aquaria - akwarium
get up;wstać z łóżka, podnieść się
holy;święty, święcony
rapidly;gwałtownie, bardzo szybko
take an opportunity;mieć okazję
paragon;wzór
retouch;retusz, retuszować
cor!;o kurczę!
mod;modować, modyfikować, modyfikacja do aplikacji
huntsman;myśliwy, łowca
rag;szmata, szmaciany
calculator;kalkulator
rural;wiejski
intelligible;zrozumiały
vs;=versus - (in contrast to)a, (against)kontra, przeciw
tailer;ryba pokazująca swój ogon na powierzchni
pair;para, łączyć w pary
turning radius;=turning circle - promień skrętu
earthquake;trzęsienie ziemi
terribly;strasznie, okropnie
scholarly;naukowy, uczony
bake;piec, wypalać(TECH)
expire;wygasać, tracić ważność
hypothesis;pl hypotheses - hipoteza
whole;cały, całość
thrust;thrust thrust - pchnięcie, natarcie, nacisk, pchnąć, naciskać
horizontal;poziomy
topped;wykończony
submit;dostarczać, składać
taciturn;małomówny, milczący
estimate;przybliżona liczba, wycena, oszacować
fright;strach
curiosity;ciekawość
furnishings;wyposażenie
draw back;cofnąc się
then;następnie, wtedy, zatem
dragon;smok
hurt;hurt hurt - ranić, boleć, ranny
invest;inwestować
sincere;szczery
collection;kolekcja, zbiór
wig;peruka
admire;podziwiać
environment;środowisko, otoczenie
basic;podstawowy, zasadniczy
generation;pokolenie, generacja
parse;zrobić rozbiór gramatyczny, rozbiór
generous;wielkoduszny, hojny
prepare;przygotowywać
sleeve;rękaw
